Fossil Family,Body part,Original Cost,Adjusted Cost
Hadrosauridae,Articulated leg,1074665.31,1159042.51
Hypsilophodontidae,Nest with eggs,161549.29,193685.07
Dromaeosauridae,Skeleton,4121024.99,4745564.77
Apatosauridae,Nest with eggs,2973721.34,3149091.04
Hypsilophodontidae,Partial skeleton,469109.21,534621.91
Stegosauridae,Skeleton,16124885.26,19099747.75
Tyrannosauridae,Articulated leg,4021964.21,4798878.68
Tyrannosauridae,Virtually complete skeleton,9106507.76,10485449.21
Allosauridae,Partial skeleton,2492225.48,2781736.28
Diplodocidae,Femur,2114029.24,2492832.09
Diplodocidae,Virtually complete skeleton,4922270.93,5736063.26
Thescelosauridae,Virtually complete skeleton,652717.86,768710.82
Tarbosauridae,Skeleton,2518196.28,2660884.78
Allosauridae,Partial skeleton,2504359.69,2992054.98
Dromaeosauridae,Virtually complete skeleton,3961158.8,4429102.05
Ceratopsidae,Femur,663159.52,729955.91
Dromaeosauridae,Articulated leg,2170203.19,2299724.61
Thescelosauridae,Composite skeleton,523094.63,549950.12
Dromaeosauridae,Composite skeleton,3340278.28,3902815.32
Hadrosauridae,Skull,1217468.82,1287244.84
Ceratopsidae,Composite skeleton,1278102.48,1501332.47
Allosauridae,Nest with eggs,828669.68,947218.75
Camptosauridae,Virtually complete skeleton,1080433.85,1280561.4
Dromaeosauridae,Skull,2854038.81,3367393.67
Hadrosauridae,Nest with eggs,582442.46,682647.15
Camptosauridae,Skeleton,984538.48,1110656.01
Hypsilophodontidae,Composite skeleton,523734.89,607113.38
Diplodocidae,Skeleton,4798431.43,5367360.99
Apatosauridae,Skeleton,10047664.1,10696530.78
Ceratopsidae,Skeleton,1177724.88,1301353.53
Tyrannosauridae,Partial skeleton,4913417.3,5790448.01
Allosauridae,Virtually complete skeleton,3686864.29,3979179.28
Ceratopsidae,Skeleton,1282435.01,1419864.43
Ceratopsidae,Composite skeleton,1042046.55,1201919.87
Ceratopsidae,Virtually complete skeleton,1285044.99,1366388.94
Diplodocidae,Composite skeleton,4344952.36,5101460.52
Stegosauridae,Skull,7958954.37,9483897.45
Tarbosauridae,Femur,1112171.12,1252370.29
Allosauridae,Articulated leg,2062327.14,2354337.33
Dromaeosauridae,Composite skeleton,4549124.85,4911238.77
Tyrannosauridae,Skull,4735601.21,5490573.25
Tyrannosauridae,Partial skeleton,5137564.47,5929976.64
Allosauridae,Composite skeleton,2572580.21,2718836.46
Hadrosauridae,Skeleton,1495277.15,1644154.59
Camptosauridae,Articulated leg,626902.64,668773.93
Thescelosauridae,Skull,373836.73,435056.58
Dromaeosauridae,Composite skeleton,3357978.04,3784300.53
Tarbosauridae,Articulated leg,1379552.26,1597627.34
Tarbosauridae,Composite skeleton,2137541.56,2332784.59
Diplodocidae,Skeleton,4821303.32,5747243.35
Apatosauridae,Virtually complete skeleton,11118426.47,12299994.23
Stegosauridae,Articulated leg,10570169.49,11769805.72
Ceratopsidae,Skull,637830.69,737303.6
Tyrannosauridae,Partial skeleton,5607705.44,6666735.65
Thescelosauridae,Virtually complete skeleton,588288.1,700256.61
Hadrosauridae,Nest with eggs,591634.22,648000.76
Camptosauridae,Skeleton,989642.02,1176490.0
Tyrannosauridae,Femur,3072344.3,3513030.44
Hadrosauridae,Skeleton,1895505.42,2232317.43
Unidentified,Femur,259466.74,298908.89
Tyrannosauridae,Composite skeleton,6088476.09,7207813.83
Hypsilophodontidae,Skeleton,629325.44,695117.93
Dromaeosauridae,Femur,1939911.75,2160000.87
Camptosauridae,Virtually complete skeleton,1094239.4,1231383.56
Dromaeosauridae,Partial skeleton,2920959.57,3412551.25
Unidentified,Skull,332526.73,378365.63
Tyrannosauridae,Skull,5711271.42,6721529.69
Tarbosauridae,Nest with eggs,645904.46,752465.77
Tyrannosauridae,Virtually complete skeleton,7244088.22,8176259.66
Hadrosauridae,Partial skeleton,1214309.49,1284887.13
Ceratopsidae,Nest with eggs,410010.53,436768.15
Tyrannosauridae,Femur,3575615.05,3989702.19
Allosauridae,Partial skeleton,2407206.78,2772107.13
Allosauridae,Virtually complete skeleton,3487917.14,3802832.93
Tyrannosauridae,Skeleton,7142871.57,8244471.03
Tyrannosauridae,Articulated leg,4419583.06,4845379.19
Apatosauridae,Skull,7024407.71,8031348.49
Allosauridae,Skeleton,3138816.47,3651396.82
Hypsilophodontidae,Skeleton,606098.27,680582.33
Thescelosauridae,Nest with eggs,181746.37,197742.11
Unidentified,Composite skeleton,369603.84,410732.11
Diplodocidae,Partial skeleton,3655220.12,4232458.16
Allosauridae,Femur,1479321.42,1626969.72
Unidentified,Femur,237407.74,252857.91
Tarbosauridae,Femur,1196108.89,1390124.12
Tyrannosauridae,Femur,4423088.51,4662834.38
Allosauridae,Articulated leg,1461334.84,1619222.92
Stegosauridae,Skeleton,17857553.81,21216373.22
Tarbosauridae,Composite skeleton,2483879.05,2864696.79
Unidentified,Femur,219751.01,251501.87
Camptosauridae,Femur,569585.21,642677.97
Hadrosauridae,Nest with eggs,539232.09,568180.57
Stegosauridae,Articulated leg,10308198.44,11681157.36
Ceratopsidae,Composite skeleton,1045180.3,1103021.61
Hypsilophodontidae,Virtually complete skeleton,778396.41,881806.94
Unidentified,Partial skeleton,356416.83,415280.03
Apatosauridae,Partial skeleton,7769448.35,8581232.97
Stegosauridae,Skull,8016563.29,8511223.37
Tyrannosauridae,Skull,5668855.23,6735390.86
Camptosauridae,Skeleton,930971.12,1073573.61
Hypsilophodontidae,Skeleton,553763.41,608197.17
Unidentified,Nest with eggs,154718.0,184504.09
Hypsilophodontidae,Nest with eggs,198648.83,234792.09
Tyrannosauridae,Skeleton,7934236.61,8614996.24
Dromaeosauridae,Nest with eggs,1025129.27,1133492.09
Stegosauridae,Femur,8119908.02,9115544.46
Tyrannosauridae,Skull,5501349.54,6199765.55
Hypsilophodontidae,Articulated leg,346351.88,415486.62
Unidentified,Partial skeleton,337560.64,399345.1
Camptosauridae,Femur,595505.73,682717.66
Dromaeosauridae,Virtually complete skeleton,5062471.73,5474138.87
Diplodocidae,Composite skeleton,4782434.54,5283670.87
Thescelosauridae,Femur,278750.18,327212.38
Apatosauridae,Composite skeleton,8983297.18,9608909.9
Diplodocidae,Articulated leg,3044862.03,3224861.95
Ceratopsidae,Skull,627805.57,725911.52
Tarbosauridae,Skeleton,1897978.57,2217899.87
Thescelosauridae,Nest with eggs,151260.86,163280.23
Dromaeosauridae,Femur,1722420.8,1877982.5
Apatosauridae,Articulated leg,4686090.59,5381019.98
Dromaeosauridae,Partial skeleton,3088667.35,3257375.16
Hypsilophodontidae,Nest with eggs,216068.19,247209.21
Tarbosauridae,Skeleton,2260758.22,2392732.77
Hypsilophodontidae,Virtually complete skeleton,757235.86,838361.92
Camptosauridae,Skeleton,1244547.93,1478691.55
Ceratopsidae,Nest with eggs,370453.85,412796.08
Dromaeosauridae,Partial skeleton,3018752.09,3553568.94
Ceratopsidae,Skull,889309.53,958452.22
Dromaeosauridae,Femur,2295705.34,2514831.19
Thescelosauridae,Virtually complete skeleton,667412.22,791747.97
Tarbosauridae,Skull,1506212.96,1732922.56
Camptosauridae,Skull,770092.21,843035.62
Ceratopsidae,Skull,762798.64,804002.68
Ceratopsidae,Skull,813336.76,883224.23
Stegosauridae,Skeleton,12465857.31,13776329.07
Hadrosauridae,Femur,986968.28,1084101.41
Ceratopsidae,Skeleton,1308133.36,1498945.9
Tarbosauridae,Composite skeleton,2153571.82,2348838.89
Stegosauridae,Skeleton,16693133.9,19657387.48
Allosauridae,Partial skeleton,1827061.84,1919518.13
Unidentified,Skeleton,515116.05,610041.78
Tarbosauridae,Partial skeleton,1868482.02,2049398.6
Hadrosauridae,Articulated leg,1153300.75,1220197.92
Diplodocidae,Virtually complete skeleton,5236512.45,5531894.02
Tarbosauridae,Virtually complete skeleton,3115012.37,3735164.06
Ceratopsidae,Skull,840294.28,948168.21
Allosauridae,Articulated leg,1544688.44,1795679.45
Unidentified,Virtually complete skeleton,510465.22,549175.03
Unidentified,Partial skeleton,394122.48,448891.07
Apatosauridae,Skeleton,10117485.39,11588158.29
Thescelosauridae,Virtually complete skeleton,683433.13,759019.15
Ceratopsidae,Partial skeleton,913447.63,987046.34
Hypsilophodontidae,Articulated leg,326561.83,365905.21
Hadrosauridae,Composite skeleton,1800948.48,1961672.11
Unidentified,Partial skeleton,370299.6,410261.83
Hadrosauridae,Skeleton,1550229.0,1856767.96
Tyrannosauridae,Nest with eggs,2639023.46,3114206.56
Unidentified,Skeleton,347001.52,388768.83
Apatosauridae,Femur,4689957.95,5437595.33
Tyrannosauridae,Nest with eggs,2571433.77,2720076.83
Tyrannosauridae,Partial skeleton,6266662.98,6852108.73
Unidentified,Nest with eggs,146893.91,168598.5
Unidentified,Nest with eggs,122320.91,135486.79
Thescelosauridae,Articulated leg,296042.9,323925.37
Hadrosauridae,Partial skeleton,1099996.02,1291767.12
Tarbosauridae,Composite skeleton,2015440.64,2142595.35
Tarbosauridae,Partial skeleton,1727282.71,1853174.66
Tarbosauridae,Articulated leg,1528264.33,1635750.64
Thescelosauridae,Composite skeleton,463513.52,550381.7
Diplodocidae,Skeleton,4968043.18,5283977.94
Thescelosauridae,Nest with eggs,135884.31,151422.37
Apatosauridae,Skeleton,8687543.48,10374737.54
Allosauridae,Partial skeleton,2152218.02,2304438.75
Stegosauridae,Composite skeleton,13862284.02,14716462.31
Ceratopsidae,Articulated leg,627807.45,745163.93
Camptosauridae,Articulated leg,716824.7,806538.59
Apatosauridae,Femur,5652554.85,5994330.98
Tyrannosauridae,Virtually complete skeleton,7092312.45,7977191.43
Hypsilophodontidae,Skull,414675.18,476351.61
Tarbosauridae,Partial skeleton,1455549.72,1559057.95
Hadrosauridae,Skeleton,2154198.88,2377016.48
Tarbosauridae,Virtually complete skeleton,2821858.7,3368053.48
Stegosauridae,Skeleton,13681030.02,15778188.64
Apatosauridae,Nest with eggs,3081295.21,3537300.77
Diplodocidae,Virtually complete skeleton,5052362.04,5921684.18
Camptosauridae,Femur,539672.35,592340.51
Ceratopsidae,Skull,900160.35,1001677.83
Hypsilophodontidae,Partial skeleton,434204.89,494234.46
Stegosauridae,Nest with eggs,4421499.62,4884377.6
Ceratopsidae,Articulated leg,697080.42,796175.44
Ceratopsidae,Composite skeleton,1109574.75,1241954.58
Hypsilophodontidae,Nest with eggs,202553.23,227872.52
Allosauridae,Skeleton,3200065.44,3634649.87
Unidentified,Partial skeleton,367051.4,396643.93
Tarbosauridae,Nest with eggs,646688.34,696521.8
Thescelosauridae,Skeleton,537719.82,629251.18
Allosauridae,Skull,2237225.91,2424233.03
Ceratopsidae,Partial skeleton,951534.37,1039644.18
Stegosauridae,Nest with eggs,5522611.51,6188327.36
Allosauridae,Femur,1590608.41,1701024.61
Allosauridae,Skeleton,3371946.06,3702312.68
Tarbosauridae,Skull,1385764.09,1491792.36
Diplodocidae,Skull,2600035.03,2745330.66
Unidentified,Partial skeleton,379717.47,402481.59
Allosauridae,Skull,1661625.68,1759301.92
Tarbosauridae,Femur,1176004.2,1263846.43
Tyrannosauridae,Nest with eggs,2301835.11,2451275.25
Apatosauridae,Femur,4209944.86,4583397.09
Stegosauridae,Skull,11136950.6,11784998.08
Ceratopsidae,Skull,767092.98,809053.58
Hypsilophodontidae,Skull,359448.7,406068.98
Camptosauridae,Partial skeleton,855683.71,902920.04
Stegosauridae,Skeleton,16085013.4,18746701.94
Tarbosauridae,Skull,1655843.93,1938282.9
Tyrannosauridae,Nest with eggs,2177962.72,2543863.52
Dromaeosauridae,Virtually complete skeleton,4652603.17,5302098.26
Hypsilophodontidae,Articulated leg,372152.62,443091.57
Diplodocidae,Virtually complete skeleton,5267629.08,6184787.18
Diplodocidae,Virtually complete skeleton,5883788.55,6286054.67
Diplodocidae,Femur,2395497.1,2762782.05
Unidentified,Femur,270517.26,300530.27
Thescelosauridae,Skeleton,534400.08,567500.88
Ceratopsidae,Virtually complete skeleton,1528360.24,1611483.07
Hadrosauridae,Virtually complete skeleton,2070635.4,2352452.8
Tyrannosauridae,Skull,5489396.92,6223173.98
Hadrosauridae,Nest with eggs,665618.59,709053.78
Tyrannosauridae,Femur,3851472.84,4535733.15
Thescelosauridae,Virtually complete skeleton,660310.16,777065.36
Stegosauridae,Composite skeleton,15117839.26,16993045.96
Allosauridae,Skull,2000765.1,2305611.51
Tarbosauridae,Skeleton,2188624.61,2523310.16
Diplodocidae,Partial skeleton,3785151.85,4170872.88
Unidentified,Femur,239343.91,265804.62
Hadrosauridae,Femur,1018710.37,1176853.0
Stegosauridae,Femur,9052966.09,9842708.02
Diplodocidae,Skull,2703742.17,3183603.57
Hadrosauridae,Virtually complete skeleton,1990653.14,2200439.0
Tyrannosauridae,Virtually complete skeleton,8204901.43,8698376.57
Allosauridae,Articulated leg,1780738.11,2010726.55
Thescelosauridae,Femur,213030.15,255233.01
Unidentified,Skull,285187.86,320756.28
Stegosauridae,Skeleton,15865588.35,17653013.11
Hadrosauridae,Skeleton,1811480.36,1959220.82
Hadrosauridae,Femur,802006.51,863801.99
Ceratopsidae,Virtually complete skeleton,1467627.6,1573532.25
Thescelosauridae,Virtually complete skeleton,643594.72,706837.38
Unidentified,Skull,293392.49,347548.24
Camptosauridae,Skeleton,1126480.5,1211337.18
Camptosauridae,Nest with eggs,320046.56,377902.27
Tarbosauridae,Femur,1229375.35,1350341.55
Hypsilophodontidae,Composite skeleton,588126.15,634638.06
Tarbosauridae,Composite skeleton,2555296.98,3029059.86
Stegosauridae,Skull,8975443.31,10389193.48
Unidentified,Nest with eggs,139602.31,151742.9
Tyrannosauridae,Nest with eggs,2184103.86,2306075.73
Stegosauridae,Composite skeleton,13043032.37,13973135.59
Ceratopsidae,Femur,574562.89,612131.24
Stegosauridae,Nest with eggs,4042701.34,4428238.79
Dromaeosauridae,Nest with eggs,1155108.65,1272228.09
Tarbosauridae,Virtually complete skeleton,2492205.67,2950291.92
Apatosauridae,Articulated leg,5220865.44,5811055.06
Thescelosauridae,Skull,342508.72,391565.8
Hadrosauridae,Femur,919893.48,1085707.21
Diplodocidae,Femur,2105286.22,2295960.71
Allosauridae,Articulated leg,2022661.31,2190850.92
Camptosauridae,Femur,558228.48,601606.64
Thescelosauridae,Nest with eggs,173472.89,187692.42
Tyrannosauridae,Skull,4818015.15,5540593.85
Stegosauridae,Articulated leg,9355664.96,10815780.99
Allosauridae,Composite skeleton,3020032.23,3277656.04
Dromaeosauridae,Nest with eggs,1356737.44,1518457.0
Stegosauridae,Skeleton,13717324.25,14871159.22
Dromaeosauridae,Skull,2608462.93,2936045.66
Thescelosauridae,Articulated leg,280355.81,305323.37
Allosauridae,Skull,2160358.17,2349439.73
Unidentified,Nest with eggs,178435.04,205003.1
Allosauridae,Articulated leg,2046433.71,2243987.25
Diplodocidae,Partial skeleton,3296010.33,3756575.08
Thescelosauridae,Nest with eggs,198150.87,217726.37
Tarbosauridae,Nest with eggs,790185.13,910510.94
Diplodocidae,Partial skeleton,3167049.2,3467202.19
Stegosauridae,Virtually complete skeleton,19008632.68,20986167.73
Tyrannosauridae,Composite skeleton,6334859.93,6781537.35
Tyrannosauridae,Femur,4882628.99,5674068.13
Diplodocidae,Articulated leg,2735523.95,3102852.17
Dromaeosauridae,Skeleton,3933871.53,4304925.17
Camptosauridae,Virtually complete skeleton,1016977.35,1165403.8
Hypsilophodontidae,Partial skeleton,486932.63,552451.68
Stegosauridae,Composite skeleton,15120724.68,17973037.52
Dromaeosauridae,Articulated leg,2230145.67,2628582.87
Hadrosauridae,Skeleton,1913342.92,2108132.65
Ceratopsidae,Composite skeleton,1189386.47,1341678.38
Unidentified,Skull,332240.7,359035.0
Unidentified,Nest with eggs,161124.41,174940.73
Thescelosauridae,Virtually complete skeleton,526739.26,597855.26
Tarbosauridae,Femur,1077248.18,1216870.26
Thescelosauridae,Articulated leg,265401.57,299880.02
Allosauridae,Virtually complete skeleton,3436296.14,3722249.38
Allosauridae,Femur,1619188.01,1861875.76
Allosauridae,Skull,1911978.61,2252450.74
Unidentified,Skeleton,389701.33,464427.07
Apatosauridae,Composite skeleton,8392570.94,9859949.51
Thescelosauridae,Femur,277462.33,300295.38
Thescelosauridae,Nest with eggs,167952.3,200417.32
Apatosauridae,Femur,5094508.32,5701609.98
Tyrannosauridae,Skull,4800658.21,5362366.12
Dromaeosauridae,Femur,1733689.26,1989607.39
Apatosauridae,Nest with eggs,2850432.56,3408424.97
Ceratopsidae,Nest with eggs,429940.17,486077.39
Tarbosauridae,Articulated leg,1385525.27,1520485.45
Tyrannosauridae,Virtually complete skeleton,8288601.81,9855974.32
Apatosauridae,Composite skeleton,8094577.57,9179483.57
Camptosauridae,Femur,542986.24,575848.05
Allosauridae,Skeleton,2778014.1,3112672.72
Dromaeosauridae,Partial skeleton,3210498.59,3828378.06
Thescelosauridae,Skeleton,490532.64,527349.94
Stegosauridae,Skull,8462911.47,9536537.49
Unidentified,Virtually complete skeleton,418862.25,493681.37
Tyrannosauridae,Nest with eggs,2689388.52,3221165.63
Apatosauridae,Partial skeleton,6706367.7,7676436.12
Camptosauridae,Composite skeleton,908328.94,1038031.28
Tarbosauridae,Partial skeleton,1841010.14,2191602.32
Tarbosauridae,Femur,1192075.46,1360770.23
Tyrannosauridae,Nest with eggs,2373156.86,2666007.46
Allosauridae,Skeleton,3404721.14,3863735.38
Allosauridae,Partial skeleton,2337173.99,2521352.55
Diplodocidae,Skull,3164838.18,3395703.86
Hypsilophodontidae,Skeleton,620574.95,731883.96
Ceratopsidae,Composite skeleton,874631.23,927429.3
Hypsilophodontidae,Skull,371672.85,439219.21
Apatosauridae,Femur,4908331.6,5217116.82
Hadrosauridae,Articulated leg,1163437.98,1276916.03
Thescelosauridae,Articulated leg,339171.01,392358.9
Ceratopsidae,Articulated leg,651511.42,737746.09
Stegosauridae,Skeleton,13862087.86,15892553.08
Dromaeosauridae,Virtually complete skeleton,4534871.51,5377034.33
Hypsilophodontidae,Femur,256502.17,283849.78
Diplodocidae,Articulated leg,2792541.41,3018531.84
Stegosauridae,Skeleton,15144849.67,16018071.64
Dromaeosauridae,Nest with eggs,1338399.14,1575451.68
Allosauridae,Skeleton,3227858.71,3435086.64
Ceratopsidae,Skull,832421.46,937043.09
Dromaeosauridae,Nest with eggs,1350208.02,1527523.07
Apatosauridae,Virtually complete skeleton,9812177.59,11151298.74
Tarbosauridae,Partial skeleton,1699899.06,1968815.59
Stegosauridae,Skeleton,14927731.84,16504910.43
Tyrannosauridae,Skull,5126734.22,6128042.13
Hadrosauridae,Nest with eggs,554990.67,627540.97
Tarbosauridae,Articulated leg,1332221.0,1547892.8
Unidentified,Nest with eggs,159211.32,177505.99
Unidentified,Articulated leg,266761.94,302660.16
Tyrannosauridae,Nest with eggs,2255185.81,2659016.32
Hypsilophodontidae,Articulated leg,338346.77,367327.23
Diplodocidae,Skull,2752924.64,3068167.42
Hypsilophodontidae,Virtually complete skeleton,633965.51,734155.97
Allosauridae,Composite skeleton,3028504.49,3462175.09
Hypsilophodontidae,Partial skeleton,457853.93,492967.97
Dromaeosauridae,Skull,3040084.05,3195737.71
Dromaeosauridae,Virtually complete skeleton,4624793.94,5501830.71
Stegosauridae,Skeleton,14624200.17,16884960.16
Tyrannosauridae,Virtually complete skeleton,8775733.28,10195481.9
Apatosauridae,Skull,5412869.97,6329089.72
Unidentified,Partial skeleton,372565.26,429142.19
Hadrosauridae,Skeleton,1850566.23,2006359.89
Ceratopsidae,Partial skeleton,1087752.19,1243254.33
Camptosauridae,Virtually complete skeleton,1230216.12,1321053.16
Dromaeosauridae,Articulated leg,2391202.94,2706796.86
Hadrosauridae,Skeleton,1746927.15,2049663.79
Unidentified,Partial skeleton,429364.93,477164.66
Unidentified,Partial skeleton,335545.31,391161.25
Tarbosauridae,Partial skeleton,1967289.34,2212351.78
Diplodocidae,Partial skeleton,3298834.0,3884253.33
Unidentified,Articulated leg,287186.75,335943.07
Diplodocidae,Partial skeleton,3428909.76,4008546.71
Stegosauridae,Virtually complete skeleton,17071170.91,19778292.03
Tarbosauridae,Skull,1773306.67,1893185.05
Camptosauridae,Skull,739258.66,885620.55
Tarbosauridae,Composite skeleton,2142757.96,2359226.47
Camptosauridae,Partial skeleton,846537.08,899418.76
Camptosauridae,Skull,601957.46,704340.86
Diplodocidae,Composite skeleton,4290845.13,5035576.82
Dromaeosauridae,Skeleton,4417919.17,4939613.23
Dromaeosauridae,Skeleton,3991124.94,4335766.09
Hadrosauridae,Articulated leg,957501.05,1081207.81
Dromaeosauridae,Skull,2485669.83,2618035.79
Apatosauridae,Virtually complete skeleton,11476241.61,12761639.27
Tyrannosauridae,Virtually complete skeleton,6926661.93,7496763.45
Allosauridae,Skull,1895213.93,2035137.29
Tarbosauridae,Femur,1162198.16,1231633.97
Apatosauridae,Skeleton,9188340.94,10552178.07
Diplodocidae,Skull,3175438.86,3622859.74
Hadrosauridae,Femur,845431.55,931048.86
Ceratopsidae,Skeleton,1124836.57,1183433.95
Thescelosauridae,Partial skeleton,402197.97,473118.15
Apatosauridae,Articulated leg,5311651.4,5693940.09
Hadrosauridae,Articulated leg,1131136.38,1312756.68
Diplodocidae,Articulated leg,2898864.33,3074087.88
Hypsilophodontidae,Composite skeleton,512874.85,590195.32
Tarbosauridae,Composite skeleton,2174511.95,2284777.25
Unidentified,Articulated leg,293159.03,332439.04
Allosauridae,Virtually complete skeleton,3434180.2,3730280.89
Unidentified,Composite skeleton,478024.75,518679.95
Camptosauridae,Nest with eggs,319878.26,358875.51
Ceratopsidae,Articulated leg,755031.58,818609.21
Allosauridae,Composite skeleton,2859372.29,3047720.19
Hadrosauridae,Nest with eggs,499953.83,578267.74
Ceratopsidae,Skull,865985.53,975253.59
Tarbosauridae,Composite skeleton,2196797.03,2503082.22
Dromaeosauridae,Partial skeleton,3322070.04,3527237.65
Unidentified,Skeleton,339123.29,360626.4
Allosauridae,Partial skeleton,2623830.9,2957531.42
Ceratopsidae,Nest with eggs,441853.89,521832.63
Stegosauridae,Partial skeleton,12207383.27,13316829.07
Dromaeosauridae,Nest with eggs,1241108.61,1427708.09
Dromaeosauridae,Virtually complete skeleton,3794428.36,4390812.47
Camptosauridae,Composite skeleton,1053730.14,1108265.07
Tyrannosauridae,Virtually complete skeleton,8255702.5,9822510.02
Tarbosauridae,Skeleton,2084757.47,2444347.51
Apatosauridae,Skull,6712188.15,7704488.86
Tyrannosauridae,Femur,3904208.89,4413943.65
Tarbosauridae,Articulated leg,1346899.61,1571430.31
Thescelosauridae,Skull,344777.79,410999.92
Stegosauridae,Partial skeleton,11231464.69,11928785.4
Diplodocidae,Femur,2539170.01,2942836.18
Hadrosauridae,Composite skeleton,1729474.16,2015833.05
Unidentified,Skeleton,459610.47,487804.86
Allosauridae,Articulated leg,1842426.87,2061421.65
Ceratopsidae,Articulated leg,750387.15,857756.34
Diplodocidae,Skeleton,5708146.08,6688087.34
Hadrosauridae,Nest with eggs,604298.32,683680.04
Camptosauridae,Composite skeleton,920946.99,1054425.02
Allosauridae,Skeleton,3590117.12,3833064.1
Ceratopsidae,Virtually complete skeleton,1352347.24,1436386.73
Tarbosauridae,Composite skeleton,2236308.99,2451608.59
Hypsilophodontidae,Articulated leg,361204.41,418750.4
Allosauridae,Virtually complete skeleton,2883254.47,3240448.23
Tarbosauridae,Articulated leg,1227988.73,1428061.3
Unidentified,Virtually complete skeleton,562395.28,672256.4
Dromaeosauridae,Articulated leg,2334372.32,2745607.29
Hypsilophodontidae,Nest with eggs,219270.47,230956.8
Thescelosauridae,Nest with eggs,143833.28,165800.86
Hypsilophodontidae,Nest with eggs,207882.17,240643.44
Hypsilophodontidae,Partial skeleton,466566.68,509880.0
Hypsilophodontidae,Partial skeleton,527872.58,576642.41
Unidentified,Partial skeleton,384361.93,447902.54
Tarbosauridae,Skull,1340739.69,1581857.69
Thescelosauridae,Virtually complete skeleton,680189.46,781752.42
Stegosauridae,Skull,10425697.13,11895740.19
Diplodocidae,Skeleton,4750049.3,5565749.44
Camptosauridae,Partial skeleton,865729.3,1030054.99
Hadrosauridae,Nest with eggs,616509.59,668260.37
Allosauridae,Skeleton,2978505.58,3209675.19
Stegosauridae,Articulated leg,9587474.71,11040808.46
Thescelosauridae,Articulated leg,355652.99,402918.76
Dromaeosauridae,Virtually complete skeleton,4092864.4,4341282.62
Hadrosauridae,Skull,1037403.08,1236499.78
Hadrosauridae,Nest with eggs,542124.51,624057.1
Camptosauridae,Virtually complete skeleton,1218506.26,1435466.89
Tyrannosauridae,Skeleton,7948328.62,8882139.4
Tarbosauridae,Femur,1115146.12,1295640.22
Unidentified,Partial skeleton,375392.37,416917.47
Hadrosauridae,Femur,964456.29,1028875.87
Allosauridae,Nest with eggs,1036602.21,1139476.15
Apatosauridae,Skull,6122863.11,6999111.55
Thescelosauridae,Composite skeleton,393281.77,449108.94
Apatosauridae,Nest with eggs,3040062.45,3504293.32
Thescelosauridae,Skull,305769.1,345566.14
Hypsilophodontidae,Composite skeleton,579805.88,669562.89
Tyrannosauridae,Articulated leg,4630232.33,5009156.23
Allosauridae,Virtually complete skeleton,3776478.43,4478318.93
Apatosauridae,Virtually complete skeleton,8604801.26,10269637.49
Thescelosauridae,Skull,376923.71,412276.13
Dromaeosauridae,Femur,2113179.71,2500861.25
Camptosauridae,Skeleton,1049519.95,1115036.26
Tarbosauridae,Skeleton,2156437.09,2553215.29
Stegosauridae,Virtually complete skeleton,15818816.93,18769470.37
Tyrannosauridae,Partial skeleton,6488352.66,7113626.39
Apatosauridae,Partial skeleton,7228830.68,8628381.08
Apatosauridae,Nest with eggs,2374313.96,2696631.65
Apatosauridae,Composite skeleton,9569617.77,10669821.07
Unidentified,Skeleton,416077.63,448364.31
Ceratopsidae,Skull,829138.6,927158.66
Camptosauridae,Articulated leg,639315.35,690332.61
Diplodocidae,Partial skeleton,4298462.62,4869693.35
Diplodocidae,Skull,2805327.39,3038601.61
Diplodocidae,Partial skeleton,3410953.02,3807309.76
Tyrannosauridae,Skeleton,7610738.35,8485402.77
Camptosauridae,Partial skeleton,953819.05,1088856.87
Hypsilophodontidae,Articulated leg,389616.84,452817.87
Diplodocidae,Skull,2970796.62,3485869.44
Tarbosauridae,Skeleton,2301400.73,2686155.92
Apatosauridae,Femur,4378333.04,4788309.44
Thescelosauridae,Skeleton,442805.72,525052.85
Stegosauridae,Skull,10201896.93,11503000.24
Dromaeosauridae,Composite skeleton,3266182.0,3854995.26
Thescelosauridae,Skull,364394.73,419393.76
Allosauridae,Skeleton,2649920.79,2987367.08
Allosauridae,Nest with eggs,1022618.18,1215742.24
Tyrannosauridae,Femur,3885254.29,4170450.19
Ceratopsidae,Partial skeleton,869680.98,949968.61
Tyrannosauridae,Virtually complete skeleton,8501052.67,9875328.65
Stegosauridae,Skeleton,18422911.58,19403017.35
Apatosauridae,Femur,4768220.61,5377536.13
Tyrannosauridae,Composite skeleton,6476662.77,7608813.4
Tyrannosauridae,Skeleton,7217048.56,8182522.13
Tarbosauridae,Skull,1396217.06,1518126.61
Hadrosauridae,Partial skeleton,1231573.28,1357992.09
Apatosauridae,Articulated leg,5062307.99,5617177.84
Allosauridae,Articulated leg,1551636.02,1826885.5
Apatosauridae,Nest with eggs,2778421.77,2983428.64
Dromaeosauridae,Virtually complete skeleton,4768459.81,5584097.19
Thescelosauridae,Virtually complete skeleton,664485.91,738683.34
Thescelosauridae,Articulated leg,338757.35,386256.38
Tyrannosauridae,Skull,5114677.04,5952926.85
Diplodocidae,Skull,3064334.13,3576497.54
Hadrosauridae,Virtually complete skeleton,2093732.15,2222242.12
Allosauridae,Femur,1828241.38,2153981.95
Tyrannosauridae,Skull,5422848.43,5834338.14
Allosauridae,Femur,1443074.22,1541868.98
Diplodocidae,Virtually complete skeleton,4404425.26,5127263.43
